x,y,m
-42.03,-22.97,-73.54410507161818
-42.03,-22.965999999999998,-119.34749540270269
-42.03,-22.962,-126.58515708701994
-42.03,-22.958,-120.61916480816402
-42.03,-22.954,-103.93926238358667
-42.03,-22.95,-117.61768256751478
-42.03,-22.945999999999998,-119.5210545596841
-42.03,-22.942,-80.8554417402136
-42.03,-22.938,-20.601608401237407
-42.03,-22.934,7.639389575769077
-42.03,-22.93,12.462995118294879
-42.029,-22.97,-72.26988578553232
-42.029,-22.965999999999998,-124.38408055776537
-42.029,-22.962,-127.13123948448587
-42.029,-22.958,-118.02527492636496
-42.029,-22.954,-102.69296803787891
-42.029,-22.95,-114.176867056298
-42.029,-22.945999999999998,-121.34161151705648
-42.029,-22.942,-76.99226317361841
-42.029,-22.938,-2.8283356116625757
-42.029,-22.934,36.23474648203775
-42.029,-22.93,44.36676006343734
-42.028,-22.97,-70.49281188900954
-42.028,-22.965999999999998,-128.69336128941637
-42.028,-22.962,-130.74688039258334
-42.028,-22.958,-116.30958709120715
-42.028,-22.954,-102.63807425759683
-42.028,-22.95,-107.59169622339205
-42.028,-22.945999999999998,-122.75816719336608
-42.028,-22.942,-81.083465414427
-42.028,-22.938,-0.08902171175565975
-42.028,-22.934,49.11993043632883
-42.028,-22.93,63.62735141504521
-42.027,-22.97,-68.78015546232132
-42.027,-22.965999999999998,-131.8633252779398
-42.027,-22.962,-136.1705749584547
-42.027,-22.958,-114.49927584895852
-42.027,-22.954,-101.35295191536143
-42.027,-22.95,-99.65007420914542
-42.027,-22.945999999999998,-122.43986498984798
-42.027,-22.942,-89.51175769242182
-42.027,-22.938,-8.18102300696562
-42.027,-22.934,50.97278349836441
-42.027,-22.93,73.54377497321967
-42.026,-22.97,-67.6100569277328
-42.026,-22.965999999999998,-133.85426428592237
-42.026,-22.962,-141.88352250671917
-42.026,-22.958,-111.5117642949882
-42.026,-22.954,-97.33374036526088
-42.026,-22.95,-91.73909482948474
-42.026,-22.945999999999998,-119.72550513339054
-42.026,-22.942,-98.7253571272135
-42.026,-22.938,-22.039203483015253
-42.026,-22.934,46.0665491134654
-42.026,-22.93,77.36445336024873
-42.025,-22.97,-67.25705458669995
-42.025,-22.965999999999998,-134.90113084687616
-42.025,-22.962,-146.22491652904867
-42.025,-22.958,-106.53337620189211
-42.025,-22.954,-90.27078250032825
-42.025,-22.95,-84.61620908629646
-42.025,-22.945999999999998,-114.68659465175054
-42.025,-22.942,-106.06035259961337
-42.025,-22.938,-37.39514491815277
-42.025,-22.934,36.95005795306635
-42.025,-22.93,77.1347723540944
-42.024,-22.97,-67.83799915855211
-42.024,-22.965999999999998,-135.46707226573764
-42.024,-22.962,-147.44118228677974
-42.024,-22.958,-99.34999842954123
-42.024,-22.954,-80.70372412176958
-42.024,-22.95,-78.32134983033656
-42.024,-22.945999999999998,-107.84533957363819
-42.024,-22.942,-110.39295599985955
-42.024,-22.938,-51.836207145173454
-42.024,-22.934,24.724097706018345
-42.024,-22.93,73.75469827881274
-42.023,-22.97,-69.39629590658437
-42.023,-22.965999999999998,-136.20235414898244
-42.023,-22.962,-144.58703350605654
-42.023,-22.958,-90.14522813499967
-42.023,-22.954,-69.35750270797193
-42.023,-22.95,-72.18130270035661
-42.023,-22.945999999999998,-99.78736784603443
-42.023,-22.942,-111.85574174904204
-42.023,-22.938,-64.71324994262362
-42.023,-22.934,9.56545388574332
-42.023,-22.93,67.40635808660464
-42.022,-22.97,-71.91319919390982
-42.022,-22.965999999999998,-137.91492940878175
-42.022,-22.962,-138.83952123413468
-42.022,-22.958,-79.32150397238419
-42.022,-22.954,-56.67544307481643
-42.022,-22.95,-65.11299120641009
-42.022,-22.945999999999998,-90.90292894599968
-42.022,-22.942,-110.72840377405268
-42.022,-22.938,-76.13065178493643
-42.022,-22.934,-8.809572149371032
-42.022,-22.93,58.08133997621809
-42.021,-22.97,-75.40932830176845
-42.021,-22.965999999999998,-141.53028315650897
-42.021,-22.962,-132.84346131910922
-42.021,-22.958,-67.46445351239717
-42.021,-22.954,-42.853696517363524
-42.021,-22.95,-56.198450200325205
-42.021,-22.945999999999998,-81.35426099749209
-42.021,-22.942,-107.19077151288401
-42.021,-22.938,-86.3088377343147
-42.021,-22.934,-29.997253104289868
-42.021,-22.93,45.55045357318051
-42.02,-22.97,-80.07907106466364
-42.02,-22.965999999999998,-147.6735243179065
-42.02,-22.962,-129.30706582321355
-42.02,-22.958,-55.341886054157435
-42.02,-22.954,-28.208412733044042
-42.02,-22.95,-45.0442364393549
-42.02,-22.945999999999998,-71.19860825379493
-42.02,-22.942,-101.46545504284761
-42.02,-22.938,-95.29460054426124
-42.02,-22.934,-52.17427605775981
-42.02,-22.93,29.139628282162292
-42.019,-22.97,-86.02463188751734
-42.019,-22.965999999999998,-156.20995413612835
-42.019,-22.962,-130.4440787191676
-42.019,-22.958,-43.85147173760755
-42.019,-22.954,-13.248452655212656
-42.019,-22.95,-31.81693857687378
-42.019,-22.945999999999998,-60.413164986639124
-42.019,-22.942,-93.81918714898346
-42.019,-22.938,-102.82454565350446
-42.019,-22.934,-72.90142622500096
-42.019,-22.93,9.435818419008896
-42.018,-22.97,-92.99496775484566
-42.018,-22.965999999999998,-166.38075925536262
-42.018,-22.962,-137.8697362721151
-42.018,-22.958,-34.24340175630385
-42.018,-22.954,1.3031725019241005
-42.018,-22.95,-17.05813365154969
-42.018,-22.945999999999998,-48.860967058982844
-42.018,-22.942,-84.71188590747455
-42.018,-22.938,-108.37321999788485
-42.018,-22.934,-89.85309495956224
-42.018,-22.93,-11.981664755731197
-42.017,-22.97,-100.5986241198471
-42.017,-22.965999999999998,-177.21944848063058
-42.017,-22.962,-152.01058154931906
-42.017,-22.958,-28.366720104825315
-42.017,-22.954,14.46491689048012
-42.017,-22.95,-1.3748802324220841
-42.017,-22.945999999999998,-36.357699107265915
-42.017,-22.942,-74.70683444830325
-42.017,-22.938,-111.16241910757667
-42.017,-22.934,-101.55590105383482
-42.017,-22.93,-33.79682792076014
-42.016,-22.97,-108.31012779387304
-42.016,-22.965999999999998,-187.85610448105902
-42.016,-22.962,-172.01694336056758
-42.016,-22.958,-28.817453287270453
-42.016,-22.954,25.05873982567612
-42.016,-22.95,14.713627050746975
-42.016,-22.945999999999998,-22.831971435675438
-42.016,-22.942,-64.32165420631671
-42.016,-22.938,-110.6732082279553
-42.016,-22.934,-109.00803202146855
-42.016,-22.93,-55.13861972775681
-42.015,-22.97,-115.51774582772624
-42.015,-22.965999999999998,-197.54126018955952
-42.015,-22.962,-195.9770881044007
-42.015,-22.958,-38.44262948715534
-42.015,-22.954,31.84425821917122
-42.015,-22.95,30.716528274110036
-42.015,-22.945999999999998,-8.36402827177521
-42.015,-22.942,-54.02507324789481
-42.015,-22.938,-107.20392400754585
-42.015,-22.934,-113.84175661273214
-42.015,-22.93,-75.19373614933122
-42.014,-22.97,-121.54477676706544
-42.014,-22.965999999999998,-205.53609864215983
-42.014,-22.962,-221.1409584627607
-42.014,-22.958,-58.65087390990827
-42.014,-22.954,33.615817407121305
-42.014,-22.95,46.03969921299865
-42.014,-22.945999999999998,6.747857465943249
-42.014,-22.942,-44.25629958604118
-42.014,-22.938,-101.51867294194442
-42.014,-22.934,-116.93313298067442
-42.014,-22.93,-92.900795745384
-42.013,-22.97,-125.5784226420208
-42.013,-22.965999999999998,-211.10378231887248
-42.013,-22.962,-244.20884911540227
-42.013,-22.958,-88.06056983592583
-42.013,-22.954,29.340283689023654
-42.013,-22.95,59.928968275728344
-42.013,-22.945999999999998,21.88545570296399
-42.013,-22.942,-35.27249303537522
-42.013,-22.938,-94.44410351722877
-42.013,-22.934,-118.69121553887348
-42.013,-22.93,-107.00132965545792
-42.012,-22.97,-126.95769657389731
-42.012,-22.965999999999998,-213.5948501245415
-42.012,-22.962,-262.52144302316793
-42.012,-22.958,-123.58691552786124
-42.012,-22.954,18.210090260814326
-42.012,-22.95,71.51080362038476
-42.012,-22.945999999999998,36.17440157210881
-42.012,-22.942,-27.005027074137967
-42.012,-22.938,-86.78686026908322
-42.012,-22.934,-119.30641672643358
-42.012,-22.93,-116.62498969983194
-42.011,-22.97,-125.70348313300607
-42.011,-22.965999999999998,-212.45351181270465
-42.011,-22.962,-275.1204337213473
-42.011,-22.958,-161.73389985091254
-42.011,-22.954,-0.3428223940088405
-42.011,-22.95,79.79999456675785
-42.011,-22.945999999999998,48.54093945883294
-42.011,-22.942,-19.25472819068848
-42.011,-22.938,-79.19279725245754
-42.011,-22.934,-118.87122312425024
-42.011,-22.93,-122.07159166870409
-42.01,-22.97,-122.41682689972892
-42.01,-22.965999999999998,-207.86923418931065
-42.01,-22.962,-282.4400968396027
-42.01,-22.958,-199.1508877538208
-42.01,-22.954,-26.24761306388167
-42.01,-22.95,83.76993928366804
-42.01,-22.945999999999998,58.21909025826601
-42.01,-22.942,-11.984278072801152
-42.01,-22.938,-72.06299414615599
-42.01,-22.934,-117.35741751051026
-42.01,-22.93,-124.49775413061485
-42.009,-22.97,-117.85950349143312
-42.009,-22.965999999999998,-200.83806360421417
-42.009,-22.962,-285.45965175397447
-42.009,-22.958,-233.12257784336325
-42.009,-22.954,-58.3217451359253
-42.009,-22.95,82.48075770202495
-42.009,-22.945999999999998,65.32079878015648
-42.009,-22.942,-5.28223470267583
-42.009,-22.938,-65.5741420164464
-42.009,-22.934,-114.55884962753119
-42.009,-22.93,-124.79278847332354
-42.008,-22.97,-112.87320202335552
-42.008,-22.965999999999998,-192.32703498495613
-42.008,-22.962,-285.1467094355801
-42.008,-22.958,-261.5816054393855
-42.008,-22.954,-94.02450725123819
-42.008,-22.95,75.49625565024404
-42.008,-22.945999999999998,70.38044147024047
-42.008,-22.942,0.7351532715988185
-42.008,-22.938,-59.69839922467597
-42.008,-22.934,-110.30790517903567
-42.008,-22.93,-123.5966824451353
-42.007,-22.97,-108.08927157104449
-42.007,-22.965999999999998,-182.89552052122824
-42.007,-22.962,-282.23068970219987
-42.007,-22.958,-283.338267016542
-42.007,-22.954,-129.55103272093055
-42.007,-22.95,63.35470009450446
-42.007,-22.945999999999998,73.83348445042103
-42.007,-22.942,5.892597403070208
-42.007,-22.938,-54.28329221571728
-42.007,-22.934,-104.86668124663123
-42.007,-22.93,-121.4215269806811
-42.006,-22.97,-103.49612796738852
-42.006,-22.965999999999998,-172.77392244588037
-42.006,-22.962,-277.17179829286357
-42.006,-22.958,-298.1603727141057
-42.006,-22.954,-160.75728325993614
-42.006,-22.95,47.147323875635784
-42.006,-22.945999999999998,75.87573050515657
-42.006,-22.942,10.00561230591567
-42.006,-22.938,-49.22798331901924
-42.006,-22.934,-98.82204066123609
-42.006,-22.93,-118.76085628611794
-42.004999999999995,-22.97,-98.9338986185767
-42.004999999999995,-22.965999999999998,-162.02787688468692
-42.004999999999995,-22.962,-270.24957352544254
-42.004999999999995,-22.958,-306.40361924318324
-42.004999999999995,-22.954,-185.09996617331012
-42.004999999999995,-22.95,28.069769716005357
-42.004999999999995,-22.945999999999998,76.45727628439289
-42.004999999999995,-22.942,12.947647785903053
-42.004999999999995,-22.938,-44.61517079852855
-42.004999999999995,-22.934,-92.7503276096026
-42.004999999999995,-22.93,-116.11462795457106
-42.004,-22.97,-94.48715497049992
-42.004,-22.965999999999998,-150.78028864011253
-42.004,-22.962,-261.72811549853697
-42.004,-22.958,-308.6293980188157
-42.004,-22.954,-202.4087362975566
-42.004,-22.95,7.389059341295006
-42.004,-22.945999999999998,75.30913489164031
-42.004,-22.942,14.692322879664527
-42.004,-22.938,-40.68098707002968
-42.004,-22.934,-87.0695919309635
-42.004,-22.93,-113.5715802760006
-42.003,-22.97,-90.27251272552377
-42.003,-22.965999999999998,-139.6664432144573
-42.003,-22.962,-252.02873966710334
-42.003,-22.958,-305.931064859043
-42.003,-22.954,-213.72594438997731
-42.003,-22.95,-13.515150035495605
-42.003,-22.945999999999998,71.97123271387736
-42.003,-22.942,15.375528822654552
-42.003,-22.938,-37.608963866065764
-42.003,-22.934,-82.04153018693273
-42.003,-22.93,-110.89255416611431
-42.001999999999995,-22.97,-86.36227555129155
-42.001999999999995,-22.965999999999998,-129.85598466528256
-42.001999999999995,-22.962,-241.91641090146803
-42.001999999999995,-22.958,-300.23713404801583
-42.001999999999995,-22.954,-220.33908363729856
-42.001999999999995,-22.95,-33.324721899579515
-42.001999999999995,-22.945999999999998,65.88333192638221
-42.001999999999995,-22.942,15.236398005747516
-42.001999999999995,-22.938,-35.435448025925865
-42.001999999999995,-22.934,-77.8145232815705
-42.001999999999995,-22.93,-107.72165052514495
-42.001,-22.97,-82.84294782902397
-42.001,-22.965999999999998,-122.17597050359555
-42.001,-22.962,-232.31093105770188
-42.001,-22.958,-293.3488184056123
-42.001,-22.954,-223.4239718293635
-42.001,-22.95,-51.023957385977724
-42.001,-22.945999999999998,56.440316748250936
-42.001,-22.942,14.356936809158654
-42.001,-22.938,-34.13695770254672
-42.001,-22.934,-74.46042215459296
-42.001,-22.93,-103.75894959305496
-42.0,-22.97,-79.86132362976714
-42.0,-22.965999999999998,-116.83446796292837
-42.0,-22.962,-223.40254116539143
-42.0,-22.958,-286.25884131644705
-42.0,-22.954,-223.98188683429885
-42.0,-22.95,-66.12690977024562
-42.0,-22.945999999999998,43.19324522437554
-42.0,-22.942,12.442421913956125
-42.0,-22.938,-33.726441356243846
-42.0,-22.934,-71.99002757893594
-42.0,-22.93,-99.09585344403249
-41.998999999999995,-22.97,-77.60565688729433
-41.998999999999995,-22.965999999999998,-113.82116052455738
-41.998999999999995,-22.962,-214.73352159078166
-41.998999999999995,-22.958,-279.1659228428811
-41.998999999999995,-22.954,-222.9806515569428
-41.998999999999995,-22.95,-79.00287391458393
-41.998999999999995,-22.945999999999998,26.454981273695413
-41.998999999999995,-22.942,8.93786867570997
-41.998999999999995,-22.938,-34.290899916891455
-41.998999999999995,-22.934,-70.37639534101085
-41.998999999999995,-22.93,-94.27329991064799
-41.998,-22.97,-76.20375045979388
-41.998,-22.965999999999998,-112.87350909213399
-41.998,-22.962,-206.12167543433443
-41.998,-22.958,-271.98463468091495
-41.998,-22.954,-221.35752994006782
-41.998,-22.95,-90.58016837068283
-41.998,-22.945999999999998,7.579386481233965
-41.998,-22.942,3.287218069734956
-41.998,-22.938,-35.96586421540024
-41.998,-22.934,-69.55905516537075
-41.998,-22.93,-89.9352594237717
-41.997,-22.97,-75.67599061875966
-41.997,-22.965999999999998,-113.09924723216999
-41.997,-22.962,-197.82722410978957
-41.997,-22.958,-264.62991043979804
-41.997,-22.954,-219.84112197041784
-41.997,-22.95,-101.63387339751367
-41.997,-22.945999999999998,-11.83213157698255
-41.997,-22.942,-4.855126955761503
-41.997,-22.938,-38.83412166446512
-41.997,-22.934,-69.42979336968075
-41.997,-22.93,-86.59252238343701
-41.995999999999995,-22.97,-75.86223411704889
-41.995999999999995,-22.965999999999998,-113.36696940894073
-41.995999999999995,-22.962,-190.3222995104717
-41.995999999999995,-22.958,-257.02443922665753
-41.995999999999995,-22.954,-218.7218766918374
-41.995999999999995,-22.95,-112.01648301397428
-41.995999999999995,-22.945999999999998,-30.541137731823362
-41.995999999999995,-22.942,-15.401862776122146
-41.995999999999995,-22.938,-42.8781383657786
-41.995999999999995,-22.934,-69.88092587000477
-41.995999999999995,-22.93,-84.4894173514486
-41.995,-22.97,-76.32799975867947
-41.995,-22.965999999999998,-113.00606812050671
-41.995,-22.962,-184.0453246326375
-41.995,-22.958,-249.17599274970829
-41.995,-22.954,-217.6158822920346
-41.995,-22.95,-120.9437236556076
-41.995,-22.945999999999998,-47.64354911486951
-41.995,-22.942,-28.05641695574364
-41.995,-22.938,-48.03140788336368
-41.995,-22.934,-70.8877095604651
-41.995,-22.93,-83.58924799628929
-41.994,-22.97,-76.67489180913604
-41.994,-22.965999999999998,-112.1207289985908
-41.994,-22.962,-178.88354229368056
-41.994,-22.958,-241.20050529377454
-41.994,-22.954,-215.6372886890745
-41.994,-22.95,-127.75336368939584
-41.994,-22.945999999999998,-62.55795018518358
-41.994,-22.942,-42.094196407583766
-41.994,-22.938,-54.161305593560535
-41.994,-22.934,-72.51612610651866
-41.994,-22.93,-83.66616968960808
-41.992999999999995,-22.97,-76.81068290751949
