x,y,m
-42.025,-22.97,-70.30868416066969
-42.025,-22.965999999999998,-122.27183575423736
-42.025,-22.962,-144.9519698637721
-42.025,-22.958,-128.47188400194273
-42.025,-22.954,-114.87081612174896
-42.025,-22.95,-99.25257257222263
-42.025,-22.945999999999998,-109.14852220223656
-42.025,-22.942,-110.45336104446068
-42.025,-22.938,-76.43756589449882
-42.025,-22.934,-27.586248286273477
-42.025,-22.93,-0.2093083347344115
-42.02424,-22.97,-68.78390702403911
-42.02424,-22.965999999999998,-125.67846195852233
-42.02424,-22.962,-145.9476019285141
-42.02424,-22.958,-117.06064972192546
-42.02424,-22.954,-100.72668927186876
-42.02424,-22.95,-91.14324879713641
-42.02424,-22.945999999999998,-108.20836004411069
-42.02424,-22.942,-113.44790999100717
-42.02424,-22.938,-73.6755913971384
-42.02424,-22.934,-12.52689301318583
-42.02424,-22.93,23.29916888108555
-42.02348,-22.97,-67.90053394008365
-42.02348,-22.965999999999998,-127.18219024085109
-42.02348,-22.962,-143.7436551729793
-42.02348,-22.958,-106.4572558166743
-42.02348,-22.954,-88.15769774216038
-42.02348,-22.95,-84.64934575793733
-42.02348,-22.945999999999998,-104.82017250711144
-42.02348,-22.942,-114.83876667296668
-42.02348,-22.938,-75.07420156542065
-42.02348,-22.934,-7.724566395956738
-42.02348,-22.93,34.89978026764425
-42.02272,-22.97,-67.96724684351413
-42.02272,-22.965999999999998,-127.62531095470445
-42.02272,-22.962,-138.37687471454421
-42.02272,-22.958,-95.79974615197725
-42.02272,-22.954,-76.45589962897023
-42.02272,-22.95,-78.77611135859792
-42.02272,-22.945999999999998,-99.84610291027896
-42.02272,-22.942,-114.73729722766979
-42.02272,-22.938,-79.01088577423035
-42.02272,-22.934,-10.776520957484228
-42.02272,-22.93,37.88829635602307
-42.02196,-22.97,-69.05079597828984
-42.02196,-22.965999999999998,-128.02638360026125
-42.02196,-22.962,-131.1468512124282
-42.02196,-22.958,-84.78977546798602
-42.02196,-22.954,-64.91135068469727
-42.02196,-22.95,-72.5248682791598
-42.02196,-22.945999999999998,-93.86164578302699
-42.02196,-22.942,-113.23158070890835
-42.02196,-22.938,-84.2493794453259
-42.02196,-22.934,-19.58622722730677
-42.02196,-22.93,35.49112627437474
-42.0212,-22.97,-71.16205250171578
-42.0212,-22.965999999999998,-129.36851622142495
-42.0212,-22.962,-123.70660363894694
-42.0212,-22.958,-73.53382922323257
-42.0212,-22.954,-53.12877565862276
-42.0212,-22.95,-65.24468018538141
-42.0212,-22.945999999999998,-87.14067695266024
-42.0212,-22.942,-110.44421107120135
-42.0212,-22.938,-90.12424669098975
-42.0212,-22.934,-32.59046923682103
-42.0212,-22.93,29.412709865670358
-42.02044,-22.97,-74.43624152632805
-42.02044,-22.965999999999998,-132.38334820130248
-42.02044,-22.962,-117.56513231051562
-42.02044,-22.958,-62.325685982348254
-42.02044,-22.954,-41.03464885614149
-42.02044,-22.95,-56.64328353142181
-42.02044,-22.945999999999998,-79.81705158803453
-42.02044,-22.942,-106.46710216861153
-42.02044,-22.938,-96.18187189672105
-42.02044,-22.934,-48.10431679940967
-42.02044,-22.93,19.687771806365827
-42.01968,-22.97,-78.9840903944518
-42.01968,-22.965999999999998,-137.2974006870175
-42.01968,-22.962,-113.90231442987935
