North(m),East(m),Anomalia Magnética(nT)
-2549670.0,-4665330.0,-94.59932442702865
-2549592.3000000003,-4665330.0,-101.01412445663489
-2549514.5999999996,-4665330.0,-107.58216110638826
-2549436.9,-4665330.0,-116.13215688092953
-2549359.1999999997,-4665330.0,-124.2300736830475
-2549281.5,-4665330.0,-124.8000762131003
-2549203.8,-4665330.0,-117.83077173350091
-2549126.1,-4665330.0,-111.85002011666101
-2549048.4,-4665330.0,-101.89085570515286
-2548970.6999999997,-4665330.0,-109.6841865952218
-2548892.9999999995,-4665330.0,-116.83444198703717
-2548815.3,-4665330.0,-109.55487425598164
-2548737.5999999996,-4665330.0,-101.1752591853425
-2548659.9,-4665330.0,-94.55577222058349
-2548582.2,-4665330.0,-90.1217725490116
-2548504.5,-4665330.0,-94.13874834836385
-2548426.8,-4665330.0,-102.74606139145206
-2548349.0999999996,-4665330.0,-118.18144264303977
-2548271.4,-4665330.0,-129.87227044346554
-2548193.6999999997,-4665330.0,-137.11009052841527
-2548116.0,-4665330.0,-152.22406526891587
-2548038.3,-4665330.0,-176.98098167455933
-2547960.6,-4665330.0,-141.7579412725097
-2547882.9,-4665330.0,-76.34613334069265
-2547805.1999999997,-4665330.0,-46.91374772942815
-2547727.5,-4665330.0,-45.48427398824432
-2547649.8,-4665330.0,-76.85206240054559
-2547572.1,-4665330.0,-128.75535119476018
-2547494.4,-4665330.0,-177.12932707231013
-2547416.7,-4665330.0,-206.25038734012583
-2547339.0,-4665330.0,-207.3288198002451
-2547261.3,-4665330.0,-199.15306994550116
-2547183.5999999996,-4665330.0,-192.36005857146836
-2547105.9,-4665330.0,-173.4788580205143
-2547028.1999999997,-4665330.0,-143.4957788441619
-2546950.5,-4665330.0,-114.23618842126771
-2546872.8,-4665330.0,-82.085505329878
-2546795.1,-4665330.0,-60.615747563374
-2546717.4,-4665330.0,-39.27687122564189
-2546639.6999999997,-4665330.0,-13.451172309815712
-2546562.0,-4665330.0,15.091171707703994
-2546484.3,-4665330.0,42.24769873615773
-2546406.6,-4665330.0,69.06016273852322
-2546328.9,-4665330.0,94.61747368967151
-2546251.2,-4665330.0,113.86096089134064
-2546173.4999999995,-4665330.0,130.2331288276097
-2546095.8,-4665330.0,145.27039826815584
-2546018.0999999996,-4665330.0,153.23773103643015
-2545940.4,-4665330.0,162.9863254765082
-2545862.6999999997,-4665330.0,171.2779194308719
-2545785.0,-4665330.0,177.9831541573414
-2549670.0,-4665219.0,-83.15028472464843
-2549592.3000000003,-4665219.0,-95.50820142544046
-2549514.5999999996,-4665219.0,-114.47749281647609
-2549436.9,-4665219.0,-126.84287445505986
-2549359.1999999997,-4665219.0,-129.27186997456838
-2549281.5,-4665219.0,-133.85186379848298
-2549203.8,-4665219.0,-146.8623632132008
-2549126.1,-4665219.0,-152.27216127018283
-2549048.4,-4665219.0,-144.69942866274496
-2548970.6999999997,-4665219.0,-123.61280725056291
-2548892.9999999995,-4665219.0,-100.65773164646083
-2548815.3,-4665219.0,-105.33597377579065
-2548737.5999999996,-4665219.0,-114.58503213650212
-2548659.9,-4665219.0,-114.55793890309693
-2548582.2,-4665219.0,-105.829762282416
-2548504.5,-4665219.0,-92.97568175211404
-2548426.8,-4665219.0,-94.3850090933709
-2548349.0999999996,-4665219.0,-110.67481176356549
-2548271.4,-4665219.0,-125.44259513110083
-2548193.6999999997,-4665219.0,-134.71757991559792
-2548116.0,-4665219.0,-139.94741752947127
-2548038.3,-4665219.0,-136.0375439560347
-2547960.6,-4665219.0,-117.7568431708371
-2547882.9,-4665219.0,-90.79559844251243
-2547805.1999999997,-4665219.0,-66.84398043874252
-2547727.5,-4665219.0,-53.09599572646513
-2547649.8,-4665219.0,-57.393620397182374
-2547572.1,-4665219.0,-87.06033424658924
-2547494.4,-4665219.0,-142.00555849651454
-2547416.7,-4665219.0,-191.59745991460852
-2547339.0,-4665219.0,-214.9366821035134
-2547261.3,-4665219.0,-216.15490917445032
-2547183.5999999996,-4665219.0,-208.86906489424527
-2547105.9,-4665219.0,-190.47602441724862
-2547028.1999999997,-4665219.0,-166.3167023943225
-2546950.5,-4665219.0,-148.96141583972212
-2546872.8,-4665219.0,-129.16248442206575
-2546795.1,-4665219.0,-97.07556542529215
-2546717.4,-4665219.0,-65.6522811480955
-2546639.6999999997,-4665219.0,-44.91846974507216
-2546562.0,-4665219.0,-23.481228794496168
-2546484.3,-4665219.0,4.6080103321941035
-2546406.6,-4665219.0,31.70284320884277
-2546328.9,-4665219.0,58.61954810865453
-2546251.2,-4665219.0,83.75606433886645
-2546173.4999999995,-4665219.0,109.37828854053276
-2546095.8,-4665219.0,138.86762632367362
-2546018.0999999996,-4665219.0,163.94170929258138
-2545940.4,-4665219.0,181.19111865528157
-2545862.6999999997,-4665219.0,186.38156826112072
-2545785.0,-4665219.0,179.16523778355082
-2549670.0,-4665108.0,-82.2786157422217
-2549592.3000000003,-4665108.0,-105.31915219987592
-2549514.5999999996,-4665108.0,-123.97153856534806
-2549436.9,-4665108.0,-135.72650130850903
-2549359.1999999997,-4665108.0,-136.44543341300866
-2549281.5,-4665108.0,-142.3671705617002
-2549203.8,-4665108.0,-156.02542560303633
-2549126.1,-4665108.0,-157.71113918429415
-2549048.4,-4665108.0,-145.218909198002
-2548970.6999999997,-4665108.0,-132.55200695386145
-2548892.9999999995,-4665108.0,-121.31265239534221
-2548815.3,-4665108.0,-126.13422868858163
-2548737.5999999996,-4665108.0,-140.1767822641128
-2548659.9,-4665108.0,-133.79793728923778
-2548582.2,-4665108.0,-120.18226420345668
-2548504.5,-4665108.0,-109.90747145101817
-2548426.8,-4665108.0,-107.12067777860099
-2548349.0999999996,-4665108.0,-116.33420044336437
-2548271.4,-4665108.0,-127.21567293776404
-2548193.6999999997,-4665108.0,-134.2414254091349
-2548116.0,-4665108.0,-140.80977720547256
-2548038.3,-4665108.0,-144.9094198111549
-2547960.6,-4665108.0,-136.42596668778114
-2547882.9,-4665108.0,-115.29695185599455
-2547805.1999999997,-4665108.0,-83.03065864726165
-2547727.5,-4665108.0,-55.28366858808828
-2547649.8,-4665108.0,-49.24356681024738
-2547572.1,-4665108.0,-58.85903481290957
-2547494.4,-4665108.0,-71.4853698790429
-2547416.7,-4665108.0,-112.96439031946367
-2547339.0,-4665108.0,-199.65969996123312
-2547261.3,-4665108.0,-243.1420588816626
-2547183.5999999996,-4665108.0,-214.27709412780536
-2547105.9,-4665108.0,-191.9674313739921
-2547028.1999999997,-4665108.0,-184.29552284520628
-2546950.5,-4665108.0,-170.19562959434785
-2546872.8,-4665108.0,-149.24187597108818
-2546795.1,-4665108.0,-120.15962452180231
-2546717.4,-4665108.0,-87.77940173931664
-2546639.6999999997,-4665108.0,-73.82842839829934
-2546562.0,-4665108.0,-60.80919840374617
-2546484.3,-4665108.0,-31.262593095467306
-2546406.6,-4665108.0,-9.196016428993053
-2546328.9,-4665108.0,-1.5626114751988265
-2546251.2,-4665108.0,22.626821877032903
-2546173.4999999995,-4665108.0,65.88766014942978
-2546095.8,-4665108.0,111.4830040009459
-2546018.0999999996,-4665108.0,146.355047292477
-2545940.4,-4665108.0,157.2243220536154
-2545862.6999999997,-4665108.0,153.71473276335024
-2545785.0,-4665108.0,149.54335630098473
-2549670.0,-4664997.0,-85.04131648029525
-2549592.3000000003,-4664997.0,-90.18335852160618
-2549514.5999999996,-4664997.0,-82.50826119411788
